Vendor,SN,Symptom,Install,Fail
Duality,2070481,ECC errors,6/9/2006,07/29/2006  9:37 EST
Duality,2070109,"Disk not spin up",6/9/2006,07/01/2006  8:52 EST
Duality,2070967,No Power,6/9/2006,11/25/2006  9:14 EST
Duality,2070216,No Power,6/20/2006,12/08/2006 21:09 EST
Duality,2070381,No Power,6/22/2006,12/18/2006 23:44 EST
Duality,2070276,ECC errors,6/18/2006,09/06/2006 18:56 EST
Duality,2070113,ECC errors,6/1/2006,08/12/2006  0:20 EST
Duality,2070032,ECC errors,6/6/2006,08/26/2006  5:24 EST
Duality,2070545,"Disk not spin up",6/10/2006,06/23/2006 10:33 EST
Duality,2070291,No Power,6/7/2006,11/26/2006  7:10 EST
Duality,2070036,ECC errors,6/14/2006,08/26/2006 15:16 EST
Duality,2070443,"Disk not spin up",6/9/2006,07/05/2006  9:14 EST
Duality,2070471,Blank Screen,6/6/2006,10/17/2006  5:54 EST
Duality,2070426,No Power,6/10/2006,12/04/2006  9:58 EST
Duality,2070380,"Disk not spin up",6/15/2006,07/27/2006 15:29 EST
Duality,2070995,Blank Screen,6/22/2006,11/02/2006 23:26 EST
Duality,2070786,ECC errors,6/5/2006,08/09/2006  5:07 EST
Duality,2070365,ECC errors,6/19/2006,09/09/2006 20:03 EST
Duality,2070117,No Power,6/15/2006,11/12/2006 15:59 EST
Duality,2070119,ECC errors,6/16/2006,08/30/2006 16:46 EST
Duality,2070869,"Disk not spin up",6/15/2006,07/02/2006 15:32 EST
Duality,2070358,ECC errors,6/4/2006,08/28/2006  3:30 EST
Duality,2070743,Blank Screen,6/9/2006,09/22/2006  9:25 EST
Duality,2070384,"Disk not spin up",6/16/2006,07/07/2006 16:44 EST
Duality,2070713,"Disk not spin up",6/18/2006,06/24/2006 19:19 EST
Duality,2070337,No Power,6/2/2006,10/25/2006  0:52 EST
Duality,2070113,ECC errors,6/4/2006,08/08/2006  3:58 EST
Duality,2070024,"Disk not spin up",6/12/2006,07/05/2006 12:31 EST
Duality,2070299,"Disk not spin up",6/7/2006,07/04/2006  7:01 EST
Duality,2070969,Blank Screen,6/18/2006,09/26/2006 19:44 EST
Duality,2070637,ECC errors,6/5/2006,07/31/2006  4:38 EST
Duality,2070087,ECC errors,6/9/2006,07/26/2006  8:38 EST
Duality,2070746,No Power,6/1/2006,10/30/2006  0:24 EST
Duality,2070131,"Disk not spin up",6/7/2006,07/17/2006  6:58 EST
Duality,2070622,Blank Screen,6/8/2006,09/14/2006  7:32 EST
Duality,2070229,Blank Screen,6/9/2006,10/16/2006  8:56 EST
Duality,2070096,"Disk not spin up",6/18/2006,07/29/2006 19:21 EST
Duality,2070536,"Disk not spin up",6/6/2006,07/18/2006  5:23 EST
Duality,2070934,ECC errors,6/20/2006,08/26/2006 21:09 EST
Duality,2070085,No Power,6/11/2006,11/22/2006 11:53 EST
Duality,2070255,No Power,6/18/2006,11/20/2006 19:47 EST
Duality,2070789,No Power,6/21/2006,11/20/2006 22:23 EST
Duality,2070304,No Power,6/4/2006,11/15/2006  2:52 EST
Duality,2070310,"Disk not spin up",6/3/2006,06/11/2006  2:35 EST
Duality,2070124,"Disk not spin up",6/11/2006,06/25/2006 11:09 EST
Duality,2070657,ECC errors,6/22/2006,09/17/2006 23:57 EST
Duality,2070253,ECC errors,6/3/2006,08/16/2006  2:24 EST
Duality,2070179,Blank Screen,6/4/2006,09/29/2006  3:02 EST
Duality,2070856,Blank Screen,6/2/2006,09/02/2006  0:41 EST
Duality,2070109,Blank Screen,6/20/2006,10/01/2006 21:14 EST
Duality,2070946,ECC errors,6/7/2006,08/06/2006  6:48 EST
Duality,2070042,ECC errors,6/2/2006,08/04/2006  1:08 EST
Duality,2070791,No Power,6/1/2006,11/04/2006  0:21 EST
Duality,2070556,No Power,6/22/2006,12/09/2006 23:49 EST
Duality,2070440,"Disk not spin up",6/7/2006,06/14/2006  6:55 EST
Duality,2070514,"Disk not spin up",6/19/2006,07/10/2006 20:00 EST
Duality,2070853,"Disk not spin up",6/2/2006,07/05/2006  0:42 EST
Duality,2070306,ECC errors,6/3/2006,08/26/2006  2:38 EST
Duality,2070739,No Power,6/15/2006,11/13/2006 16:12 EST
Duality,2070926,No Power,6/18/2006,11/15/2006 19:02 EST
Duality,2070253,No Power,6/10/2006,11/01/2006 10:16 EST
Duality,2070136,Blank Screen,6/11/2006,09/19/2006 10:58 EST
Duality,2070292,"Disk not spin up",6/16/2006,07/28/2006 16:41 EST
Duality,2070694,Blank Screen,6/8/2006,09/08/2006  7:54 EST
Duality,2070748,Blank Screen,6/14/2006,09/29/2006 14:31 EST
Duality,2070181,ECC errors,6/4/2006,08/07/2006  3:09 EST
Duality,2070723,Blank Screen,6/18/2006,10/29/2006 19:01 EST
Duality,2070327,ECC errors,6/9/2006,08/11/2006  8:57 EST
Duality,2070168,"Disk not spin up",6/18/2006,06/19/2006 19:42 EST
Duality,2070879,ECC errors,6/1/2006,07/19/2006  0:25 EST
Duality,2070766,Blank Screen,6/19/2006,10/03/2006 20:28 EST
Duality,2070195,Blank Screen,6/14/2006,09/20/2006 14:56 EST
Duality,2070162,Blank Screen,6/10/2006,09/10/2006  9:59 EST
Duality,2070523,No Power,6/6/2006,11/23/2006  5:58 EST
Duality,2070248,Blank Screen,6/8/2006,09/10/2006  8:25 EST
Duality,2070374,Blank Screen,6/10/2006,10/06/2006 10:42 EST
Duality,2070301,ECC errors,6/18/2006,08/19/2006 19:02 EST
Duality,2070650,ECC errors,6/20/2006,08/07/2006 21:21 EST
Duality,2070944,Blank Screen,6/5/2006,09/15/2006  4:57 EST
Duality,2070319,ECC errors,6/15/2006,09/01/2006 15:35 EST
Duality,2070255,Blank Screen,6/3/2006,09/24/2006  2:13 EST
Duality,2070197,No Power,6/5/2006,11/23/2006  4:53 EST
Duality,2070360,No Power,6/12/2006,12/01/2006 12:42 EST
Duality,2070720,No Power,6/5/2006,11/30/2006  4:44 EST
Duality,2070788,Blank Screen,6/18/2006,10/14/2006 19:53 EST
Duality,2070769,Blank Screen,6/3/2006,09/15/2006  2:27 EST
Duality,2070065,No Power,6/19/2006,11/12/2006 21:02 EST
Duality,2070904,Blank Screen,6/17/2006,10/29/2006 18:46 EST
Duality,2070946,ECC errors,6/6/2006,08/01/2006  6:08 EST
Duality,2070720,ECC errors,6/10/2006,08/08/2006 10:20 EST
Duality,2070187,No Power,6/5/2006,10/20/2006  5:05 EST
Duality,2070050,"Disk not spin up",6/8/2006,07/07/2006  8:15 EST
Duality,2070234,Blank Screen,6/19/2006,10/30/2006 20:57 EST
Duality,2070087,"Disk not spin up",6/12/2006,07/25/2006 12:53 EST
Duality,2070300,Blank Screen,6/21/2006,10/26/2006 22:34 EST
Duality,2070380,ECC errors,6/14/2006,09/05/2006 15:02 EST
Duality,2070246,No Power,6/18/2006,11/16/2006 19:57 EST
Duality,2070195,ECC errors,6/14/2006,08/27/2006 14:31 EST
Duality,2070480,No Power,6/8/2006,11/13/2006  8:22 EST
Duality,2070152,"Disk not spin up",6/16/2006,06/20/2006 17:29 EST
ChiTronix,1000362,No Power,6/17/2006,11/14/2006 17:53 PST
ChiTronix,1000183,"Disk not spin up",6/16/2006,06/30/2006 17:29 PST
ChiTronix,1000706,ECC errors,6/17/2006,09/13/2006 18:20 PST
ChiTronix,1000152,ECC errors,6/9/2006,08/31/2006  9:26 PST
ChiTronix,1000392,"Disk not spin up",6/5/2006,07/04/2006  4:21 PST
ChiTronix,1000279,ECC errors,6/13/2006,08/15/2006 13:40 PST
ChiTronix,1000618,"Disk not spin up",6/9/2006,07/15/2006  8:44 PST
ChiTronix,1000967,Blank Screen,6/6/2006,09/26/2006  5:31 PST
ChiTronix,1000830,ECC errors,6/22/2006,08/25/2006 23:41 PST
ChiTronix,1000418,Blank Screen,6/4/2006,10/16/2006  3:18 PST
ChiTronix,1000763,Blank Screen,6/18/2006,09/26/2006 18:57 PST
ChiTronix,1000312,Blank Screen,6/14/2006,10/07/2006 15:09 PST
ChiTronix,1000219,"Disk not spin up",6/20/2006,06/25/2006 21:50 PST
ChiTronix,1000485,ECC errors,6/13/2006,08/05/2006 13:18 PST
ChiTronix,1000364,ECC errors,6/11/2006,09/06/2006 11:03 PST
ChiTronix,1000807,ECC errors,6/19/2006,08/27/2006 20:16 PST
ChiTronix,1000062,No Power,6/17/2006,12/03/2006 18:49 PST
ChiTronix,1000901,Blank Screen,6/11/2006,10/05/2006 11:58 PST
ChiTronix,1000634,Blank Screen,6/13/2006,09/30/2006 14:16 PST
ChiTronix,1000696,No Power,6/15/2006,11/17/2006 15:28 PST
ChiTronix,1000582,No Power,6/12/2006,11/08/2006 12:09 PST
ChiTronix,1000736,ECC errors,6/12/2006,07/30/2006 12:25 PST
ChiTronix,1000765,"Disk not spin up",6/4/2006,07/13/2006  3:46 PST
ChiTronix,1000696,"Disk not spin up",6/8/2006,06/16/2006  7:40 PST
ChiTronix,1000843,"Disk not spin up",6/19/2006,07/08/2006 20:02 PST
ChiTronix,1000172,ECC errors,6/10/2006,08/31/2006 10:17 PST
ChiTronix,1000873,"Disk not spin up",6/13/2006,06/21/2006 13:28 PST
ChiTronix,1000290,Blank Screen,6/6/2006,10/12/2006  5:15 PST
ChiTronix,1000585,ECC errors,6/12/2006,08/14/2006 12:14 PST
ChiTronix,1000938,ECC errors,6/8/2006,08/12/2006  8:08 PST
ChiTronix,1000541,No Power,6/16/2006,11/14/2006 17:14 PST
ChiTronix,1000423,Blank Screen,6/22/2006,10/14/2006 23:38 PST
ChiTronix,1000452,ECC errors,6/14/2006,08/09/2006 15:11 PST
ChiTronix,1000547,"Disk not spin up",6/21/2006,06/30/2006 22:46 PST
ChiTronix,1000052,No Power,6/4/2006,11/06/2006  3:22 PST
ChiTronix,1000885,Blank Screen,6/16/2006,10/18/2006 17:26 PST
ChiTronix,1000761,Blank Screen,6/16/2006,09/22/2006 17:34 PST
ChiTronix,1000310,"Disk not spin up",6/6/2006,06/07/2006  5:10 PST
ChiTronix,1000207,Blank Screen,6/11/2006,10/09/2006 11:29 PST
ChiTronix,1000754,No Power,6/21/2006,12/18/2006 23:21 PST
ChiTronix,1000738,No Power,6/15/2006,11/08/2006 15:56 PST
ChiTronix,1000840,Blank Screen,6/1/2006,10/10/2006  0:15 PST
ChiTronix,1000844,"Disk not spin up",6/11/2006,07/16/2006 11:30 PST
ChiTronix,1000391,ECC errors,6/9/2006,08/12/2006  9:32 PST
ChiTronix,1000795,ECC errors,6/2/2006,08/24/2006  1:09 PST
ChiTronix,1000604,No Power,6/4/2006,11/19/2006  3:24 PST
ChiTronix,1000387,Blank Screen,6/13/2006,09/16/2006 13:27 PST
ChiTronix,1000395,No Power,6/7/2006,11/15/2006  6:39 PST
ChiTronix,1000596,No Power,6/22/2006,11/08/2006 23:37 PST
ChiTronix,1000153,"Disk not spin up",6/21/2006,07/07/2006 23:11 PST
ChiTronix,1000807,No Power,6/20/2006,12/05/2006 21:23 PST
ChiTronix,1000834,"Disk not spin up",6/11/2006,06/18/2006 11:31 PST
ChiTronix,1000660,"Disk not spin up",6/4/2006,06/17/2006  2:59 PST
ChiTronix,1000131,ECC errors,6/4/2006,07/25/2006  3:53 PST
ChiTronix,1000647,ECC errors,6/9/2006,08/10/2006  9:40 PST
ChiTronix,1000112,"Disk not spin up",6/14/2006,07/26/2006 14:29 PST
ChiTronix,1000694,Blank Screen,6/11/2006,10/02/2006 11:21 PST
ChiTronix,1000733,ECC errors,6/13/2006,08/02/2006 13:41 PST
ChiTronix,1000535,"Disk not spin up",6/19/2006,07/29/2006 20:18 PST
ChiTronix,1000481,Blank Screen,6/18/2006,09/24/2006 19:08 PST
ChiTronix,1000281,ECC errors,6/7/2006,08/22/2006  6:41 PST
ChiTronix,1000631,No Power,6/2/2006,11/27/2006  0:42 PST
ChiTronix,1000792,ECC errors,6/22/2006,08/31/2006 23:54 PST
ChiTronix,1000810,ECC errors,6/16/2006,08/31/2006 17:22 PST
ChiTronix,1000261,Blank Screen,6/17/2006,10/01/2006 18:49 PST
ChiTronix,1000365,Blank Screen,6/16/2006,09/28/2006 16:48 PST
ChiTronix,1000762,ECC errors,6/13/2006,08/08/2006 13:44 PST
ChiTronix,1000771,No Power,6/5/2006,11/22/2006  4:43 PST
ChiTronix,1000226,ECC errors,6/17/2006,08/21/2006 18:16 PST
ChiTronix,1000344,ECC errors,6/19/2006,09/08/2006 20:56 PST
ChiTronix,1000431,No Power,6/19/2006,11/28/2006 20:42 PST
ChiTronix,1000681,Blank Screen,6/8/2006,09/25/2006  8:02 PST
ChiTronix,1000807,Blank Screen,6/16/2006,10/05/2006 17:22 PST
ChiTronix,1000591,ECC errors,6/18/2006,08/14/2006 19:18 PST
ChiTronix,1000278,"Disk not spin up",6/9/2006,07/18/2006  9:14 PST
ChiTronix,1000178,"Disk not spin up",6/11/2006,06/13/2006 11:28 PST
ChiTronix,1000056,No Power,6/14/2006,11/01/2006 14:22 PST
ChiTronix,1000540,No Power,6/14/2006,11/18/2006 15:20 PST
ChiTronix,1000222,"Disk not spin up",6/17/2006,07/28/2006 18:41 PST
ChiTronix,1000129,Blank Screen,6/11/2006,09/18/2006 11:53 PST
ChiTronix,1000426,ECC errors,6/13/2006,08/23/2006 13:19 PST
ChiTronix,1000002,No Power,6/10/2006,11/13/2006  9:46 PST
ChiTronix,1000271,Blank Screen,6/21/2006,10/22/2006 23:15 PST
ChiTronix,1000654,ECC errors,6/19/2006,09/11/2006 20:26 PST
ChiTronix,1000580,"Disk not spin up",6/17/2006,07/02/2006 18:15 PST
ChiTronix,1000473,No Power,6/10/2006,11/26/2006 10:24 PST
ChiTronix,1000921,Blank Screen,6/10/2006,10/05/2006 10:02 PST
ChiTronix,1000628,No Power,6/10/2006,12/03/2006  9:49 PST
ChiTronix,1000461,Blank Screen,6/14/2006,10/18/2006 14:31 PST
ChiTronix,1000634,"Disk not spin up",6/15/2006,06/25/2006 15:58 PST
ChiTronix,1000104,Blank Screen,6/5/2006,09/09/2006  4:03 PST
ChiTronix,1000512,Blank Screen,6/5/2006,10/12/2006  5:06 PST
ChiTronix,1000970,No Power,6/6/2006,11/18/2006  5:43 PST
ChiTronix,1000399,"Disk not spin up",6/16/2006,06/20/2006 16:55 PST
ChiTronix,1000636,Blank Screen,6/2/2006,09/06/2006  0:46 PST
ChiTronix,1000562,ECC errors,6/15/2006,08/02/2006 16:18 PST
ChiTronix,1000146,Blank Screen,6/10/2006,09/11/2006 10:14 PST
ChiTronix,1000525,ECC errors,6/9/2006,08/15/2006  8:44 PST
ChiTronix,1000399,ECC errors,6/8/2006,08/18/2006  7:50 PST
ChiTronix,1000930,No Power,6/16/2006,11/06/2006 17:39 PST
Empirical,01AB0600,Blank Screen,6/2/2006,10/11/2006  1:21 MT
Empirical,01AB0036,"Disk not spin up",6/1/2006,06/30/2006  0:14 MT
Empirical,01AB0229,ECC errors,6/1/2006,08/09/2006  0:08 MT
Empirical,01AB0280,ECC errors,6/9/2006,08/28/2006  8:51 MT
Empirical,01AB0371,No Power,6/18/2006,11/15/2006 19:08 MT
Empirical,01AB0272,Blank Screen,6/1/2006,09/06/2006  0:12 MT
Empirical,01AB0608,Blank Screen,6/15/2006,09/30/2006 15:57 MT
Empirical,01AB0095,ECC errors,6/6/2006,07/25/2006  5:18 MT
Empirical,01AB0260,No Power,6/20/2006,11/09/2006 21:25 MT
Empirical,01AB0163,"Disk not spin up",6/11/2006,07/11/2006 11:01 MT
Empirical,01AB0307,ECC errors,6/11/2006,07/27/2006 11:34 MT
Empirical,01AB0574,Blank Screen,6/4/2006,09/28/2006  3:18 MT
Empirical,01AB0724,ECC errors,6/13/2006,09/02/2006 13:58 MT
Empirical,01AB0366,Blank Screen,6/7/2006,10/07/2006  6:39 MT
Empirical,01AB0396,No Power,6/18/2006,12/13/2006 19:54 MT
Empirical,01AB0184,"Disk not spin up",6/3/2006,06/20/2006  2:36 MT
Empirical,01AB0511,No Power,6/14/2006,11/01/2006 15:25 MT
Empirical,01AB0828,ECC errors,6/5/2006,07/23/2006  4:08 MT
Empirical,01AB0598,"Disk not spin up",6/16/2006,06/26/2006 17:42 MT
Empirical,01AB0541,No Power,6/17/2006,12/08/2006 18:04 MT
Empirical,01AB0157,ECC errors,6/18/2006,08/22/2006 18:55 MT
Empirical,01AB0979,Blank Screen,6/17/2006,10/18/2006 18:36 MT
Empirical,01AB0721,No Power,6/14/2006,12/01/2006 15:03 MT
Empirical,01AB0072,"Disk not spin up",6/3/2006,07/07/2006  1:48 MT
Empirical,01AB0583,No Power,6/17/2006,12/07/2006 18:36 MT
Empirical,01AB0503,"Disk not spin up",6/15/2006,07/12/2006 15:27 MT
Empirical,01AB0353,Blank Screen,6/17/2006,10/16/2006 18:28 MT
Empirical,01AB0757,Blank Screen,6/18/2006,09/24/2006 19:48 MT
Empirical,01AB0013,No Power,6/3/2006,11/20/2006  1:47 MT
Empirical,01AB0001,No Power,6/7/2006,10/21/2006  7:21 MT
Empirical,01AB0733,No Power,6/15/2006,11/03/2006 16:03 MT
Empirical,01AB0750,No Power,6/16/2006,11/22/2006 17:37 MT
Empirical,01AB0042,ECC errors,6/9/2006,08/13/2006  9:37 MT
Empirical,01AB0715,ECC errors,6/14/2006,08/23/2006 15:09 MT
Empirical,01AB0193,"Disk not spin up",6/11/2006,07/22/2006 11:41 MT
Empirical,01AB0571,Blank Screen,6/1/2006,10/13/2006  0:27 MT
Empirical,01AB0430,No Power,6/19/2006,11/30/2006 21:08 MT
Empirical,01AB0762,ECC errors,6/6/2006,08/27/2006  5:35 MT
Empirical,01AB0661,"Disk not spin up",6/7/2006,06/22/2006  6:50 MT
Empirical,01AB0415,No Power,6/1/2006,10/27/2006  0:24 MT
Empirical,01AB0772,No Power,6/22/2006,12/03/2006 23:38 MT
Empirical,01AB0737,No Power,6/19/2006,12/09/2006 20:32 MT
Empirical,01AB0762,Blank Screen,6/17/2006,10/09/2006 18:13 MT
Empirical,01AB0229,Blank Screen,6/18/2006,10/27/2006 19:39 MT
Empirical,01AB0453,Blank Screen,6/20/2006,10/22/2006 21:10 MT
Empirical,01AB0710,"Disk not spin up",6/19/2006,06/26/2006 20:30 MT
Empirical,01AB0120,ECC errors,6/14/2006,08/06/2006 15:21 MT
Empirical,01AB0962,ECC errors,6/22/2006,09/04/2006 23:26 MT
Empirical,01AB0116,ECC errors,6/3/2006,07/18/2006  1:45 MT
Empirical,01AB0066,"Disk not spin up",6/18/2006,06/28/2006 19:16 MT
Empirical,01AB0085,Blank Screen,6/15/2006,10/26/2006 16:13 MT
Empirical,01AB0250,Blank Screen,6/14/2006,10/11/2006 14:44 MT
Empirical,01AB0922,Blank Screen,6/20/2006,10/16/2006 21:43 MT
Empirical,01AB0981,Blank Screen,6/18/2006,10/04/2006 19:44 MT
Empirical,01AB0234,Blank Screen,6/5/2006,10/15/2006  4:10 MT
Empirical,01AB0916,"Disk not spin up",6/2/2006,06/02/2006  1:31 MT
Empirical,01AB0012,Blank Screen,6/13/2006,10/24/2006 14:04 MT
Empirical,01AB0879,Blank Screen,6/15/2006,10/11/2006 15:35 MT
Empirical,01AB0942,ECC errors,6/12/2006,09/02/2006 12:06 MT
Empirical,01AB0371,"Disk not spin up",6/18/2006,07/11/2006 18:57 MT
Empirical,01AB0225,"Disk not spin up",6/13/2006,07/14/2006 13:52 MT
Empirical,01AB0640,"Disk not spin up",6/20/2006,07/13/2006 21:14 MT
Empirical,01AB0791,"Disk not spin up",6/9/2006,06/22/2006  9:27 MT
Empirical,01AB0578,Blank Screen,6/21/2006,10/08/2006 22:26 MT
Empirical,01AB0235,Blank Screen,6/10/2006,09/27/2006 10:13 MT
Empirical,01AB0996,"Disk not spin up",6/13/2006,07/06/2006 13:29 MT
Empirical,01AB0683,"Disk not spin up",6/1/2006,07/01/2006  0:19 MT
Empirical,01AB0881,No Power,6/13/2006,10/28/2006 13:12 MT
Empirical,01AB0109,Blank Screen,6/19/2006,10/15/2006 21:07 MT
Empirical,01AB0414,"Disk not spin up",6/4/2006,06/20/2006  3:53 MT
Empirical,01AB0101,ECC errors,6/19/2006,08/07/2006 20:14 MT
Empirical,01AB0709,ECC errors,6/20/2006,09/15/2006 21:51 MT
Empirical,01AB0516,ECC errors,6/3/2006,08/14/2006  2:36 MT
Empirical,01AB0456,Blank Screen,6/16/2006,09/27/2006 16:38 MT
Empirical,01AB0218,No Power,6/8/2006,11/03/2006  7:37 MT
Empirical,01AB0570,ECC errors,6/10/2006,08/02/2006  9:56 MT
Empirical,01AB0545,No Power,6/22/2006,12/04/2006 23:43 MT
Empirical,01AB0759,Blank Screen,6/4/2006,10/02/2006  3:23 MT
Empirical,01AB0666,No Power,6/14/2006,11/23/2006 15:12 MT
Empirical,01AB0509,ECC errors,6/18/2006,08/15/2006 19:17 MT
Empirical,01AB0083,No Power,6/14/2006,11/15/2006 15:07 MT
Empirical,01AB0392,"Disk not spin up",6/1/2006,06/07/2006  0:00 MT
Empirical,01AB0449,"Disk not spin up",6/3/2006,07/15/2006  2:09 MT
Empirical,01AB0786,Blank Screen,6/12/2006,09/12/2006 13:02 MT
Empirical,01AB0997,"Disk not spin up",6/20/2006,07/30/2006 21:31 MT
Empirical,01AB0065,"Disk not spin up",6/17/2006,07/27/2006 18:30 MT
Empirical,01AB0209,No Power,6/8/2006,11/30/2006  8:01 MT
Empirical,01AB0181,Blank Screen,6/4/2006,09/04/2006  3:43 MT
Empirical,01AB0432,No Power,6/20/2006,12/03/2006 21:46 MT
Empirical,01AB0806,Blank Screen,6/5/2006,09/22/2006  4:41 MT
Empirical,01AB0270,No Power,6/6/2006,11/30/2006  6:06 MT
Empirical,01AB0588,Blank Screen,6/11/2006,09/28/2006 11:24 MT
Empirical,01AB0497,Blank Screen,6/12/2006,09/20/2006 12:10 MT
Empirical,01AB0774,ECC errors,6/9/2006,08/30/2006  8:51 MT
Empirical,01AB0963,No Power,6/19/2006,11/24/2006 20:23 MT
Empirical,01AB0198,Blank Screen,6/13/2006,10/09/2006 13:45 MT
Empirical,01AB0347,"Disk not spin up",6/6/2006,07/05/2006  5:40 MT
Empirical,01AB0864,ECC errors,6/19/2006,09/08/2006 20:19 MT
Empirical,01AB0561,ECC errors,6/9/2006,08/13/2006  8:54 MT
Empirical,01AB0372,ECC errors,6/16/2006,07/31/2006 17:19 MT
