ID,consumption,price,temperature
1,.386,.270,41
2,.374,.282,56
3,.393,.277,63
4,.425,.280,68
5,.406,.272,69
6,.344,.262,65
7,.327,.275,61
8,.288,.267,47
9,.269,.265,32
10,.256,.277,24
11,.286,.282,28
12,.298,.270,26
13,.329,.272,32
14,.318,.287,40
15,.381,.277,55
16,.381,.287,63
17,.470,.280,72
18,.443,.277,72
19,.386,.277,67
20,.342,.277,60
21,.319,.292,44
22,.307,.287,40
23,.284,.277,32
24,.326,.285,27
25,.309,.282,28
26,.359,.265,33
27,.376,.265,41
28,.416,.265,52
29,.437,.268,64
30,.548,.260,71